order_id,product_price,quantity,is_high_profit,discount_rate
ORDER_000000,21.65963357985313,1,0,0.02
ORDER_000001,358.6923587502796,2,0,0.12
ORDER_000001,22.20460383311241,2,0,0.12
ORDER_000001,38.994491110474186,1,1,0.12
ORDER_000001,392.68298897673264,3,0,0.12
ORDER_000001,18.447573990895098,2,0,0.12
ORDER_000001,11.444044769391585,2,1,0.12
ORDER_000002,48.262319727682545,1,0,0.16
ORDER_000002,254.13963506568516,1,1,0.16
ORDER_000002,35.6914131643122,3,0,0.16
ORDER_000002,234.2099422918456,2,0,0.16
ORDER_000002,192.78554998776195,3,0,0.16
ORDER_000002,330.95480119640433,1,0,0.16
ORDER_000002,87.41956324494143,1,1,0.16
ORDER_000002,46.70008726505916,2,0,0.16
ORDER_000003,407.8907244877626,1,1,0.02
ORDER_000004,320.0575024445514,3,0,0.06
ORDER_000004,133.3745359086256,3,1,0.06
ORDER_000004,19.497368552720317,3,1,0.06
ORDER_000005,44.218829897594006,3,0,0.02
ORDER_000006,209.5359709652513,3,0,0.1
ORDER_000006,17.39232289026653,1,0,0.1
ORDER_000006,10.240302273565817,2,0,0.1
ORDER_000006,21.303545556663863,2,0,0.1
ORDER_000006,204.3759685943973,3,0,0.1
ORDER_000007,199.57140874080312,1,0,0.18
ORDER_000007,41.29990057338678,2,0,0.18
ORDER_000007,37.71251354838327,1,0,0.18
ORDER_000007,160.05580216877303,1,0,0.18
ORDER_000007,420.41527516736744,2,0,0.18
ORDER_000007,172.84844436181226,2,1,0.18
ORDER_000007,31.256684606082416,3,0,0.18
ORDER_000007,455.3178674382051,2,0,0.18
ORDER_000007,479.0946338290063,2,0,0.18
ORDER_000008,21.587043719719002,1,0,0.02
ORDER_000009,13.624809364025964,3,0,0.08
ORDER_000009,48.40495464941813,3,0,0.08
ORDER_000009,95.2803829404987,2,0,0.08
ORDER_000009,39.1155603660749,2,1,0.08
ORDER_000010,12.335588230102656,2,0,0.18
ORDER_000010,182.0017306859688,1,0,0.18
ORDER_000010,361.34786457772486,3,1,0.18
ORDER_000010,96.025725390136,2,0,0.18
ORDER_000010,43.47476378354081,1,0,0.18
ORDER_000010,148.11935110294073,1,0,0.18
ORDER_000010,162.38729532150558,3,1,0.18
ORDER_000010,85.84137629160045,1,0,0.18
ORDER_000010,371.6703373410945,3,0,0.18
ORDER_000011,222.18570096221387,2,1,0.02
ORDER_000012,270.6495905589322,2,0,0.16
ORDER_000012,37.47493561456985,2,0,0.16
ORDER_000012,139.23982892035298,1,0,0.16
ORDER_000012,73.86041339602494,1,0,0.16
ORDER_000012,29.051802472008358,3,0,0.16
ORDER_000012,206.27988703184553,1,0,0.16
ORDER_000012,27.662997695540046,2,0,0.16
ORDER_000012,415.9680050423394,2,0,0.16
ORDER_000013,47.42055965841768,2,0,0.08
ORDER_000013,38.1887637243842,2,1,0.08
ORDER_000013,38.54888589370199,1,0,0.08
ORDER_000013,410.48946136476627,3,0,0.08
ORDER_000014,150.97558434727833,1,0,0.16
ORDER_000014,442.9725410249621,3,1,0.16
ORDER_000014,187.87388678502526,1,1,0.16
ORDER_000014,70.54191985625751,1,0,0.16
ORDER_000014,465.40316024830815,2,0,0.16
ORDER_000014,206.74850770698117,3,0,0.16
ORDER_000014,469.77212422689337,1,1,0.16
ORDER_000014,189.56217059573945,2,0,0.16
ORDER_000015,442.94803654606983,2,0,0.12
ORDER_000015,194.20151268117718,3,0,0.12
ORDER_000015,253.53617111331414,3,0,0.12
ORDER_000015,189.57170245908324,3,0,0.12
ORDER_000015,35.954894881183755,1,0,0.12
ORDER_000015,360.01443196545415,2,0,0.12
ORDER_000016,337.9273634957741,2,1,0.18
ORDER_000016,371.82845717035366,3,1,0.18
ORDER_000016,40.42212015325876,3,0,0.18
ORDER_000016,206.5671161534118,1,1,0.18
ORDER_000016,23.914978796614506,1,0,0.18
ORDER_000016,303.5914386762837,2,0,0.18
ORDER_000016,178.17220326698776,1,1,0.18
ORDER_000016,386.47911076609665,3,0,0.18
ORDER_000016,173.55068893055488,3,0,0.18
ORDER_000017,251.68439789065255,2,0,0.02
ORDER_000018,214.0508442377251,1,1,0.08
ORDER_000018,222.16098829922558,3,0,0.08
ORDER_000018,176.36221189754514,2,0,0.08
ORDER_000018,16.350283262720193,3,1,0.08
ORDER_000019,153.25420442713744,2,0,0.12
ORDER_000019,23.14956803597639,1,0,0.12
ORDER_000019,48.94437999904198,3,1,0.12
ORDER_000019,499.6906097208501,1,1,0.12
ORDER_000019,11.79768249859736,2,0,0.12
ORDER_000019,30.35678869182972,3,1,0.12
ORDER_000020,89.20593460031404,1,0,0.2
ORDER_000020,18.70825618215826,1,1,0.2
ORDER_000020,196.0742021823653,3,1,0.2
ORDER_000020,167.36377700238313,3,0,0.2
ORDER_000020,142.26457247270656,1,0,0.2
ORDER_000020,148.14352174740543,3,1,0.2
ORDER_000020,364.4691565165994,1,1,0.2
ORDER_000020,135.89876772093447,1,0,0.2
ORDER_000020,160.88025790203812,1,0,0.2
ORDER_000020,13.672913048238446,2,0,0.2
ORDER_000021,306.2421494017194,1,1,0.02
ORDER_000022,49.88584961270161,3,0,0.16
ORDER_000022,21.708632450274617,3,1,0.16
ORDER_000022,188.10788655455428,2,0,0.16
ORDER_000022,82.74498256115055,1,0,0.16
ORDER_000022,107.63046309267973,2,0,0.16
ORDER_000022,425.3786766354872,1,0,0.16
ORDER_000022,47.15774750432621,2,1,0.16
ORDER_000022,459.82144682899246,2,0,0.16
ORDER_000023,36.075205146887726,1,1,0.18
ORDER_000023,405.07079036462596,1,0,0.18
ORDER_000023,130.02890224235597,2,0,0.18
