order_id,customer_id,order_date,amount,status
ORDER_000000,,2026-01-31 09:08:57.902894,,cancelled
ORDER_000001,CUST_1058,2026-02-07 09:08:57.902906,951.207163345817,pending
ORDER_000002,CUST_3388,2026-04-06 09:08:57.902908,734.6740023932911,pending
ORDER_000003,CUST_2421,2026-02-27 09:08:57.902910,602.6718993550662,cancelled
ORDER_000004,CUST_4616,2026-02-19 09:08:57.902911,164.45845403801215,pending
ORDER_000005,CUST_6196,2026-03-11 09:08:57.902913,164.43457513284062,pending
ORDER_000006,CUST_8590,2026-02-18 09:08:57.902914,67.50277604651747,completed
ORDER_000007,CUST_5875,2026-02-14 09:08:57.902916,867.5143843171858,completed
ORDER_000008,CUST_1826,2026-03-20 09:08:57.902917,605.1038616257767,completed
ORDER_000009,CUST_5452,2026-04-03 09:08:57.902918,710.9918520180851,completed
ORDER_000010,,2026-03-15 09:08:57.902920,30.378649352844423,cancelled
ORDER_000011,CUST_8402,2026-03-28 09:08:57.902921,970.2107536403744,completed
ORDER_000012,CUST_8552,2026-03-28 09:08:57.902922,834.1182143924175,completed
ORDER_000013,CUST_7817,2026-02-04 09:08:57.902924,220.2157195714934,completed
ORDER_000014,CUST_7603,2026-03-13 09:08:57.902925,190.00671753502962,pending
ORDER_000015,CUST_9554,2026-02-15 09:08:57.902926,,completed
ORDER_000016,CUST_1052,2026-04-04 09:08:57.902928,311.1998205299424,completed
ORDER_000017,CUST_2206,2026-04-17 09:08:57.902929,529.5088673159155,pending
ORDER_000018,CUST_1314,2026-02-06 09:08:57.902930,437.62556845569463,completed
ORDER_000019,CUST_2856,2026-03-15 09:08:57.902931,298.3168487960615,completed
ORDER_000020,,2026-02-11 09:08:57.902933,6157.343657751557,cancelled
ORDER_000021,CUST_5982,2026-03-24 09:08:57.902934,148.09892204552142,pending
ORDER_000022,CUST_2458,2026-03-31 09:08:57.902935,299.22320204986596,cancelled
ORDER_000023,CUST_1333,2026-02-09 09:08:57.902937,372.6982248607548,pending
ORDER_000024,CUST_2405,2026-02-10 09:08:57.902938,461.50928437486556,pending
ORDER_000025,CUST_8718,2026-02-07 09:08:57.902939,787.3242017790834,completed
