order_id,product_name
ORDER_000000,纸巾
ORDER_000000,牙膏
ORDER_000001,鸡蛋
ORDER_000001,洗涤剂
ORDER_000001,饮料
ORDER_000001,服装
ORDER_000002,水果
ORDER_000002,洗涤剂
ORDER_000003,饮料
ORDER_000003,纸巾
ORDER_000003,电子产品
ORDER_000003,肉类
ORDER_000004,牙膏
ORDER_000004,化妆品
ORDER_000004,饮料
ORDER_000004,水果
ORDER_000004,零食
ORDER_000005,牛奶
ORDER_000005,肉类
ORDER_000005,牙膏
ORDER_000006,零食
ORDER_000006,鸡蛋
ORDER_000006,肉类
ORDER_000006,洗涤剂
ORDER_000007,水果
ORDER_000008,洗涤剂
ORDER_000008,纸巾
ORDER_000009,饮料
ORDER_000009,化妆品
ORDER_000009,牛奶
ORDER_000009,洗涤剂
ORDER_000009,牙膏
ORDER_000010,纸巾
ORDER_000010,蔬菜
ORDER_000011,服装
ORDER_000012,面包
ORDER_000012,蔬菜
ORDER_000012,鸡蛋
ORDER_000013,饮料
ORDER_000013,牛奶
ORDER_000013,服装
ORDER_000013,化妆品
ORDER_000013,蔬菜
ORDER_000014,肉类
ORDER_000014,水果
ORDER_000014,饮料
ORDER_000015,蔬菜
ORDER_000015,电子产品
ORDER_000015,水果
ORDER_000015,洗涤剂
ORDER_000015,服装
ORDER_000016,蔬菜
ORDER_000017,洗发水
ORDER_000017,电子产品
ORDER_000017,零食
ORDER_000018,面包
ORDER_000018,零食
ORDER_000018,牛奶
ORDER_000018,蔬菜
ORDER_000018,饮料
ORDER_000019,纸巾
ORDER_000019,洗涤剂
ORDER_000019,水果
ORDER_000020,纸巾
ORDER_000020,洗涤剂
ORDER_000021,水果
ORDER_000021,服装
ORDER_000021,牙膏
ORDER_000021,零食
ORDER_000021,电子产品
ORDER_000022,服装
ORDER_000023,水果
ORDER_000023,服装
ORDER_000024,洗发水
ORDER_000024,蔬菜
ORDER_000025,电子产品
ORDER_000025,面包
ORDER_000025,洗涤剂
ORDER_000026,饮料
ORDER_000027,电子产品
ORDER_000027,洗涤剂
ORDER_000027,化妆品
ORDER_000028,洗发水
ORDER_000028,服装
ORDER_000028,洗涤剂
ORDER_000028,饮料
ORDER_000028,面包
ORDER_000029,零食
ORDER_000029,水果
ORDER_000029,洗涤剂
ORDER_000029,牛奶
ORDER_000029,洗发水
ORDER_000030,蔬菜
ORDER_000030,零食
ORDER_000030,面包
ORDER_000030,服装
ORDER_000030,鸡蛋
ORDER_000031,肉类
ORDER_000031,电子产品
ORDER_000031,化妆品
ORDER_000031,洗发水
ORDER_000032,洗涤剂
ORDER_000032,水果
ORDER_000033,牙膏
ORDER_000033,面包
ORDER_000033,电子产品
ORDER_000033,饮料
ORDER_000033,鸡蛋
ORDER_000034,电子产品
ORDER_000034,饮料
ORDER_000035,服装
ORDER_000035,牛奶
ORDER_000035,鸡蛋
ORDER_000035,饮料
ORDER_000035,纸巾
ORDER_000036,化妆品
ORDER_000037,面包
ORDER_000037,鸡蛋
ORDER_000038,洗发水
ORDER_000038,鸡蛋
ORDER_000039,牛奶
ORDER_000039,肉类
ORDER_000039,洗涤剂
ORDER_000039,鸡蛋
ORDER_000040,纸巾
ORDER_000040,牛奶
ORDER_000040,电子产品
ORDER_000040,水果
ORDER_000041,洗发水
ORDER_000041,牙膏
ORDER_000041,蔬菜
ORDER_000041,化妆品
ORDER_000041,面包
ORDER_000042,电子产品
ORDER_000042,服装
ORDER_000043,面包
ORDER_000043,洗发水
ORDER_000043,服装
ORDER_000043,水果
ORDER_000044,服装
ORDER_000044,零食
ORDER_000044,饮料
ORDER_000044,纸巾
ORDER_000044,鸡蛋
ORDER_000045,饮料
ORDER_000045,洗发水
ORDER_000045,水果
ORDER_000045,服装
ORDER_000046,饮料
ORDER_000046,洗涤剂
ORDER_000046,牛奶
ORDER_000046,洗发水
ORDER_000047,化妆品
ORDER_000048,服装
ORDER_000048,电子产品
ORDER_000049,零食
ORDER_000049,电子产品
ORDER_000049,饮料
ORDER_000049,纸巾
ORDER_000049,化妆品
ORDER_000050,电子产品
ORDER_000050,服装
ORDER_000051,饮料
ORDER_000051,面包
ORDER_000051,洗发水
ORDER_000051,牛奶
ORDER_000052,服装
ORDER_000052,牛奶
ORDER_000052,面包
ORDER_000053,牛奶
ORDER_000053,零食
ORDER_000054,饮料
ORDER_000054,牛奶
ORDER_000054,纸巾
ORDER_000054,电子产品
ORDER_000055,蔬菜
ORDER_000055,纸巾
ORDER_000056,化妆品
ORDER_000056,服装
ORDER_000056,牛奶
ORDER_000056,饮料
ORDER_000057,饮料
ORDER_000057,化妆品
ORDER_000057,纸巾
ORDER_000057,洗涤剂
ORDER_000057,零食
ORDER_000058,水果
ORDER_000058,电子产品
ORDER_000059,纸巾
ORDER_000059,鸡蛋
ORDER_000059,零食
ORDER_000060,肉类
ORDER_000060,牛奶
ORDER_000060,蔬菜
ORDER_000060,化妆品
ORDER_000060,洗发水
ORDER_000061,肉类
ORDER_000061,水果
ORDER_000061,化妆品
ORDER_000062,肉类
ORDER_000063,洗发水
ORDER_000064,牙膏
ORDER_000065,面包
ORDER_000065,牙膏
ORDER_000065,饮料
ORDER_000066,肉类
ORDER_000066,牙膏
ORDER_000067,水果
ORDER_000067,牙膏
ORDER_000067,肉类
ORDER_000068,水果
ORDER_000068,牙膏
ORDER_000069,水果
ORDER_000069,洗涤剂
ORDER_000069,零食
ORDER_000069,肉类
ORDER_000069,化妆品
ORDER_000070,牛奶
ORDER_000070,电子产品
ORDER_000070,蔬菜
ORDER_000070,服装
ORDER_000070,纸巾
ORDER_000071,洗发水
ORDER_000071,牛奶
ORDER_000071,面包
ORDER_000072,服装
ORDER_000072,水果
ORDER_000072,纸巾
ORDER_000072,牛奶
ORDER_000073,化妆品
ORDER_000073,洗发水
ORDER_000073,牙膏
ORDER_000074,洗发水
ORDER_000074,鸡蛋
ORDER_000074,水果
ORDER_000074,面包
ORDER_000075,洗发水
ORDER_000075,洗涤剂
ORDER_000075,纸巾
ORDER_000076,肉类
ORDER_000076,电子产品
ORDER_000076,化妆品
ORDER_000076,纸巾
ORDER_000077,牙膏
ORDER_000077,电子产品
ORDER_000077,零食
ORDER_000077,面包
ORDER_000077,服装
ORDER_000078,鸡蛋
ORDER_000078,肉类
ORDER_000079,肉类
ORDER_000079,鸡蛋
ORDER_000079,洗涤剂
ORDER_000079,服装
ORDER_000080,零食
ORDER_000080,电子产品
ORDER_000080,蔬菜
ORDER_000080,水果
ORDER_000080,牛奶
ORDER_000081,蔬菜
ORDER_000081,洗涤剂
ORDER_000081,化妆品
ORDER_000081,纸巾
ORDER_000082,纸巾
ORDER_000083,洗涤剂
ORDER_000083,服装
ORDER_000083,电子产品
ORDER_000083,洗发水
ORDER_000084,蔬菜
ORDER_000084,饮料
ORDER_000084,鸡蛋
ORDER_000085,水果
ORDER_000085,洗涤剂
ORDER_000085,零食
ORDER_000085,纸巾
ORDER_000085,牛奶
ORDER_000086,纸巾
ORDER_000086,牛奶
ORDER_000086,电子产品
ORDER_000086,洗涤剂
ORDER_000086,面包
ORDER_000087,肉类
ORDER_000088,洗发水
ORDER_000089,零食
ORDER_000090,洗发水
ORDER_000091,牙膏
ORDER_000091,饮料
ORDER_000092,洗涤剂
ORDER_000092,饮料
ORDER_000092,牛奶
ORDER_000092,电子产品
ORDER_000093,牙膏
ORDER_000094,饮料
ORDER_000095,化妆品
ORDER_000096,水果
ORDER_000096,牛奶
ORDER_000096,蔬菜
ORDER_000096,饮料
ORDER_000097,牛奶
ORDER_000097,洗涤剂
ORDER_000098,水果
ORDER_000098,服装
ORDER_000098,零食
ORDER_000098,鸡蛋
ORDER_000098,饮料
ORDER_000099,肉类
ORDER_000099,蔬菜
ORDER_000100,零食
ORDER_000100,洗涤剂
ORDER_000100,鸡蛋
ORDER_000101,蔬菜
ORDER_000101,化妆品
ORDER_000102,面包
ORDER_000102,服装
ORDER_000102,洗发水
ORDER_000103,洗涤剂
ORDER_000104,服装
ORDER_000104,化妆品
ORDER_000104,面包
ORDER_000104,零食
ORDER_000104,水果
ORDER_000105,零食
ORDER_000105,肉类
ORDER_000105,蔬菜
ORDER_000106,牛奶
ORDER_000106,水果
ORDER_000106,洗涤剂
ORDER_000107,饮料
ORDER_000107,肉类
ORDER_000107,水果
ORDER_000107,蔬菜
ORDER_000107,牛奶
ORDER_000108,纸巾
ORDER_000108,洗涤剂
ORDER_000109,肉类
ORDER_000109,鸡蛋
ORDER_000109,电子产品
ORDER_000110,面包
ORDER_000111,面包
ORDER_000111,肉类
ORDER_000111,鸡蛋
ORDER_000111,牛奶
ORDER_000111,纸巾
ORDER_000112,零食
ORDER_000113,鸡蛋
ORDER_000113,面包
ORDER_000114,纸巾
ORDER_000114,电子产品
ORDER_000114,面包
ORDER_000115,洗发水
ORDER_000115,化妆品
ORDER_000116,水果
ORDER_000116,零食
ORDER_000117,面包
ORDER_000117,化妆品
ORDER_000117,蔬菜
ORDER_000117,饮料
ORDER_000118,鸡蛋
ORDER_000118,饮料
ORDER_000118,蔬菜
ORDER_000119,洗发水
ORDER_000119,蔬菜
ORDER_000119,零食
ORDER_000120,电子产品
ORDER_000121,水果
ORDER_000121,服装
ORDER_000122,肉类
ORDER_000123,洗发水
ORDER_000123,肉类
ORDER_000123,牛奶
ORDER_000123,服装
ORDER_000124,纸巾
ORDER_000124,洗涤剂
ORDER_000124,服装
ORDER_000124,肉类
ORDER_000125,电子产品
ORDER_000125,服装
ORDER_000125,牙膏
ORDER_000125,蔬菜
ORDER_000126,肉类
ORDER_000126,牛奶
ORDER_000126,服装
ORDER_000127,化妆品
ORDER_000127,面包
ORDER_000127,水果
ORDER_000128,鸡蛋
ORDER_000128,零食
ORDER_000128,牙膏
ORDER_000128,肉类
ORDER_000129,牛奶
ORDER_000129,化妆品
ORDER_000129,水果
ORDER_000129,饮料
ORDER_000130,肉类
ORDER_000131,洗涤剂
ORDER_000131,零食
