user_id,date,event_type
USER_0000,2026-01-23 09:08:57.707093,signup
USER_0000,2026-01-26 09:08:57.707093,login
USER_0000,2026-01-30 09:08:57.707093,login
USER_0000,2026-02-01 09:08:57.707093,login
USER_0000,2026-02-04 09:08:57.707093,login
USER_0000,2026-02-11 09:08:57.707093,login
USER_0000,2026-02-12 09:08:57.707093,login
USER_0000,2026-02-13 09:08:57.707093,login
USER_0000,2026-02-15 09:08:57.707093,login
USER_0000,2026-02-16 09:08:57.707093,login
USER_0001,2026-02-18 09:08:57.707122,signup
USER_0001,2026-02-20 09:08:57.707122,login
USER_0001,2026-02-25 09:08:57.707122,login
USER_0001,2026-02-26 09:08:57.707122,login
USER_0001,2026-03-07 09:08:57.707122,login
USER_0001,2026-03-08 09:08:57.707122,login
USER_0001,2026-03-14 09:08:57.707122,login
USER_0001,2026-03-17 09:08:57.707122,login
USER_0001,2026-03-18 09:08:57.707122,login
USER_0002,2026-02-17 09:08:57.707135,signup
USER_0002,2026-02-18 09:08:57.707135,login
USER_0002,2026-02-19 09:08:57.707135,login
USER_0002,2026-03-01 09:08:57.707135,login
USER_0002,2026-03-02 09:08:57.707135,login
USER_0002,2026-03-04 09:08:57.707135,login
USER_0002,2026-03-08 09:08:57.707135,login
USER_0002,2026-03-09 09:08:57.707135,login
USER_0002,2026-03-11 09:08:57.707135,login
USER_0003,2026-01-26 09:08:57.707146,signup
USER_0003,2026-01-30 09:08:57.707146,login
USER_0003,2026-01-31 09:08:57.707146,login
USER_0003,2026-02-01 09:08:57.707146,login
USER_0003,2026-02-06 09:08:57.707146,login
USER_0003,2026-02-12 09:08:57.707146,login
USER_0003,2026-02-18 09:08:57.707146,login
USER_0003,2026-02-20 09:08:57.707146,login
USER_0003,2026-02-22 09:08:57.707146,login
USER_0003,2026-02-23 09:08:57.707146,login
USER_0004,2026-02-04 09:08:57.707156,signup
USER_0004,2026-02-05 09:08:57.707156,login
USER_0004,2026-02-06 09:08:57.707156,login
USER_0004,2026-02-09 09:08:57.707156,login
USER_0004,2026-02-11 09:08:57.707156,login
USER_0004,2026-02-12 09:08:57.707156,login
USER_0004,2026-02-16 09:08:57.707156,login
USER_0004,2026-02-17 09:08:57.707156,login
USER_0004,2026-02-19 09:08:57.707156,login
USER_0004,2026-02-27 09:08:57.707156,login
USER_0004,2026-03-03 09:08:57.707156,login
USER_0004,2026-03-04 09:08:57.707156,login
USER_0005,2026-02-05 09:08:57.707168,signup
USER_0005,2026-02-07 09:08:57.707168,login
USER_0005,2026-02-09 09:08:57.707168,login
USER_0005,2026-02-11 09:08:57.707168,login
USER_0005,2026-02-13 09:08:57.707168,login
USER_0005,2026-02-16 09:08:57.707168,login
USER_0005,2026-02-17 09:08:57.707168,login
USER_0005,2026-03-02 09:08:57.707168,login
USER_0005,2026-03-05 09:08:57.707168,login
USER_0006,2026-02-13 09:08:57.707178,signup
USER_0006,2026-02-14 09:08:57.707178,login
USER_0006,2026-02-16 09:08:57.707178,login
USER_0006,2026-02-17 09:08:57.707178,login
USER_0006,2026-02-20 09:08:57.707178,login
USER_0006,2026-03-06 09:08:57.707178,login
USER_0006,2026-03-11 09:08:57.707178,login
USER_0006,2026-03-12 09:08:57.707178,login
USER_0006,2026-03-14 09:08:57.707178,login
USER_0007,2026-04-15 09:08:57.707188,signup
USER_0007,2026-04-19 09:08:57.707188,login
USER_0007,2026-04-21 09:08:57.707188,login
USER_0007,2026-04-22 09:08:57.707188,login
USER_0007,2026-04-24 09:08:57.707188,login
USER_0007,2026-04-25 09:08:57.707188,login
USER_0007,2026-04-27 09:08:57.707188,login
USER_0007,2026-04-29 09:08:57.707188,login
USER_0007,2026-04-20 09:08:57.707188,add_to_cart
USER_0008,2026-03-11 09:08:57.707199,signup
USER_0008,2026-03-12 09:08:57.707199,login
USER_0008,2026-03-15 09:08:57.707199,login
USER_0008,2026-03-16 09:08:57.707199,login
USER_0008,2026-03-18 09:08:57.707199,login
USER_0008,2026-03-19 09:08:57.707199,login
USER_0008,2026-03-22 09:08:57.707199,login
USER_0008,2026-03-26 09:08:57.707199,login
USER_0008,2026-03-29 09:08:57.707199,login
USER_0008,2026-04-03 09:08:57.707199,login
USER_0008,2026-04-06 09:08:57.707199,login
USER_0008,2026-04-09 09:08:57.707199,login
USER_0008,2026-03-15 09:08:57.707199,add_to_cart
USER_0009,2026-03-16 09:08:57.707212,signup
USER_0009,2026-03-28 09:08:57.707212,login
USER_0009,2026-04-01 09:08:57.707212,login
USER_0009,2026-04-06 09:08:57.707212,login
USER_0009,2026-04-11 09:08:57.707212,login
USER_0009,2026-04-14 09:08:57.707212,login
USER_0010,2026-02-09 09:08:57.707220,signup
USER_0010,2026-02-10 09:08:57.707220,login
USER_0010,2026-02-14 09:08:57.707220,login
USER_0010,2026-02-17 09:08:57.707220,login
USER_0010,2026-02-18 09:08:57.707220,login
USER_0010,2026-02-21 09:08:57.707220,login
USER_0010,2026-02-26 09:08:57.707220,login
USER_0010,2026-03-01 09:08:57.707220,login
USER_0010,2026-03-03 09:08:57.707220,login
USER_0010,2026-03-05 09:08:57.707220,login
USER_0010,2026-03-06 09:08:57.707220,login
USER_0010,2026-03-09 09:08:57.707220,login
USER_0010,2026-02-19 09:08:57.707220,add_to_cart
USER_0011,2026-04-03 09:08:57.707233,signup
USER_0011,2026-04-04 09:08:57.707233,login
USER_0011,2026-04-08 09:08:57.707233,login
USER_0011,2026-04-09 09:08:57.707233,login
USER_0011,2026-04-11 09:08:57.707233,login
USER_0011,2026-04-13 09:08:57.707233,login
USER_0011,2026-04-15 09:08:57.707233,login
USER_0011,2026-04-19 09:08:57.707233,login
USER_0011,2026-04-20 09:08:57.707233,login
USER_0011,2026-04-21 09:08:57.707233,login
USER_0011,2026-04-27 09:08:57.707233,login
USER_0011,2026-04-29 09:08:57.707233,login
USER_0012,2026-02-18 09:08:57.707244,signup
USER_0012,2026-02-20 09:08:57.707244,login
USER_0012,2026-02-24 09:08:57.707244,login
USER_0012,2026-02-27 09:08:57.707244,login
USER_0012,2026-03-01 09:08:57.707244,login
USER_0012,2026-03-04 09:08:57.707244,login
USER_0012,2026-03-05 09:08:57.707244,login
USER_0012,2026-03-11 09:08:57.707244,login
USER_0012,2026-03-12 09:08:57.707244,login
USER_0013,2026-03-09 09:08:57.707254,signup
USER_0013,2026-03-11 09:08:57.707254,login
USER_0013,2026-03-17 09:08:57.707254,login
USER_0013,2026-03-18 09:08:57.707254,login
USER_0013,2026-03-22 09:08:57.707254,login
USER_0013,2026-03-24 09:08:57.707254,login
USER_0013,2026-03-26 09:08:57.707254,login
USER_0013,2026-03-29 09:08:57.707254,login
USER_0013,2026-03-30 09:08:57.707254,login
USER_0013,2026-04-01 09:08:57.707254,login
USER_0014,2026-04-16 09:08:57.707264,signup
USER_0014,2026-04-19 09:08:57.707264,login
USER_0014,2026-04-22 09:08:57.707264,login
USER_0014,2026-04-23 09:08:57.707264,login
USER_0014,2026-04-28 09:08:57.707264,login
USER_0014,2026-05-01 09:08:57.707264,login
USER_0014,2026-05-02 09:08:57.707264,login
USER_0014,2026-05-07 09:08:57.707264,login
USER_0014,2026-05-10 09:08:57.707264,login
USER_0014,2026-05-11 09:08:57.707264,login
USER_0015,2026-03-20 09:08:57.707276,signup
USER_0015,2026-03-29 09:08:57.707276,login
USER_0015,2026-04-01 09:08:57.707276,login
USER_0015,2026-04-05 09:08:57.707276,login
USER_0015,2026-04-17 09:08:57.707276,login
USER_0015,2026-04-18 09:08:57.707276,login
USER_0016,2026-03-29 09:08:57.707283,signup
USER_0016,2026-04-01 09:08:57.707283,login
USER_0016,2026-04-04 09:08:57.707283,login
USER_0016,2026-04-08 09:08:57.707283,login
USER_0016,2026-04-11 09:08:57.707283,login
USER_0016,2026-04-13 09:08:57.707283,login
USER_0016,2026-04-17 09:08:57.707283,login
USER_0016,2026-04-18 09:08:57.707283,login
USER_0016,2026-04-23 09:08:57.707283,login
USER_0017,2026-02-18 09:08:57.707292,signup
USER_0017,2026-02-25 09:08:57.707292,login
USER_0017,2026-03-07 09:08:57.707292,login
USER_0017,2026-03-08 09:08:57.707292,login
USER_0017,2026-03-10 09:08:57.707292,login
USER_0017,2026-03-11 09:08:57.707292,login
USER_0018,2026-04-08 09:08:57.707299,signup
USER_0018,2026-04-09 09:08:57.707299,login
USER_0018,2026-04-14 09:08:57.707299,login
